subject,volume,modality,data,vessel,stimDur
sub-06,22,vaso,0.21315537393730738,arteries,2
sub-06,23,vaso,-1.3326064058828384,veins,2
sub-06,23,vaso,0.41793982684187186,arteries,2
sub-06,24,vaso,-1.2283444993134467,veins,2
sub-06,24,vaso,0.6412533148124242,arteries,2
sub-06,25,vaso,-1.144847479049916,veins,2
sub-06,25,vaso,0.9466458806285009,arteries,2
sub-06,26,vaso,-1.2419320935634701,veins,2
sub-06,26,vaso,0.6555086080873718,arteries,2
sub-06,27,vaso,-1.3484873274070897,veins,2
sub-06,27,vaso,0.4615887865176834,arteries,2
sub-06,28,vaso,-1.255690919631746,veins,2
sub-06,28,vaso,0.35962431640306264,arteries,2
sub-06,29,vaso,-1.035038886126025,veins,2
sub-06,29,vaso,0.4958523981818056,arteries,2
sub-06,0,bold,-2.8177129897080087,veins,2
sub-06,0,bold,-1.6061046806490629,arteries,2
sub-06,1,bold,-3.0877686069088552,veins,2
sub-06,1,bold,-1.7258637396196295,arteries,2
sub-06,2,bold,-3.245720605438493,veins,2
sub-06,2,bold,-1.8036194850357357,arteries,2
sub-06,3,bold,-3.1204982627794617,veins,2
sub-06,3,bold,-1.7583772591783768,arteries,2
sub-06,4,bold,-2.602549230272098,veins,2
sub-06,4,bold,-1.5163316635168118,arteries,2
sub-06,5,bold,-1.7481825584204245,veins,2
sub-06,5,bold,-1.0391934073857163,arteries,2
sub-06,6,bold,-0.6151862971024826,veins,2
sub-06,6,bold,-0.3525395190253413,arteries,2
sub-06,7,bold,0.5748082974509431,veins,2
sub-06,7,bold,0.45347424523375496,arteries,2
sub-06,8,bold,1.6470967348558885,veins,2
sub-06,8,bold,1.1955899659381684,arteries,2
sub-06,9,bold,2.422376012207245,veins,2
sub-06,9,bold,1.7271997096624743,arteries,2
sub-06,10,bold,2.729701096050588,veins,2
sub-06,10,bold,1.9165947556667633,arteries,2
sub-06,11,bold,2.5876505630660938,veins,2
sub-06,11,bold,1.7225139261794826,arteries,2
sub-06,12,bold,2.0161967096599542,veins,2
sub-06,12,bold,1.20016998926794,arteries,2
sub-06,13,bold,1.152510014090159,veins,2
sub-06,13,bold,0.5528180856504517,arteries,2
sub-06,14,bold,0.20999043856358054,veins,2
sub-06,14,bold,-0.060513581644697306,arteries,2
sub-06,15,bold,-0.7432486276606848,veins,2
sub-06,15,bold,-0.5406288351376707,arteries,2
sub-06,16,bold,-1.5430767214835326,veins,2
sub-06,16,bold,-0.825098411153801,arteries,2
sub-06,17,bold,-2.09456781280677,veins,2
sub-06,17,bold,-1.000197327715882,arteries,2
sub-06,18,bold,-2.415957713261343,veins,2
sub-06,18,bold,-1.1052531857654082,arteries,2
sub-06,19,bold,-2.4772160733063835,veins,2
sub-06,19,bold,-1.1774564026806627,arteries,2
sub-06,20,bold,-2.3434439631063726,veins,2
sub-06,20,bold,-1.258976083000179,arteries,2
sub-06,21,bold,-2.1494014717912213,veins,2
sub-06,21,bold,-1.2898485817803511,arteries,2
sub-06,22,bold,-1.973524952950905,veins,2
sub-06,22,bold,-1.2890027422519885,arteries,2
sub-06,23,bold,-1.897058028751074,veins,2
sub-06,23,bold,-1.289252417271182,arteries,2
sub-06,24,bold,-1.9890628747223729,veins,2
sub-06,24,bold,-1.2966683147271276,arteries,2
sub-06,25,bold,-2.1324652975323803,veins,2
sub-06,25,bold,-1.3288342505599529,arteries,2
sub-06,26,bold,-2.241542295916813,veins,2
sub-06,26,bold,-1.375691541940113,arteries,2
sub-06,27,bold,-2.212964632441775,veins,2
sub-06,27,bold,-1.4032788855386937,arteries,2
sub-06,28,bold,-1.9167151348294607,veins,2
sub-06,28,bold,-1.3183509883752935,arteries,2
sub-06,29,bold,-1.3957466007512092,veins,2
sub-06,29,bold,-1.1162993220486572,arteries,2
sub-06,0,vaso,-2.1663539244379333,veins,4
sub-06,0,vaso,0.8078244676341059,arteries,4
sub-06,1,vaso,-2.259784930818155,veins,4
sub-06,1,vaso,0.5836182491042308,arteries,4
sub-06,2,vaso,-2.163758036006815,veins,4
sub-06,2,vaso,0.38919608003915873,arteries,4
sub-06,3,vaso,-1.965171694863045,veins,4
sub-06,3,vaso,0.3749156035718854,arteries,4
sub-06,4,vaso,-1.4567017042280612,veins,4
sub-06,4,vaso,0.15395643336382497,arteries,4
sub-06,5,vaso,-0.7747236233696058,veins,4
sub-06,5,vaso,0.017663328595076886,arteries,4
sub-06,6,vaso,0.010007594731092721,veins,4
sub-06,6,vaso,-0.19919307938046538,arteries,4
sub-06,7,vaso,0.8346775094813264,veins,4
sub-06,7,vaso,-0.6379383976397364,arteries,4
sub-06,8,vaso,1.644746827795187,veins,4
sub-06,8,vaso,-0.8801529173305475,arteries,4
sub-06,9,vaso,2.24466828738449,veins,4
sub-06,9,vaso,-1.2248621448433932,arteries,4
sub-06,10,vaso,2.689025450162708,veins,4
sub-06,10,vaso,-1.6439798401073549,arteries,4
sub-06,11,vaso,2.776055782704781,veins,4
sub-06,11,vaso,-1.8415329167743009,arteries,4
sub-06,12,vaso,2.692312874497161,veins,4
sub-06,12,vaso,-1.3116317489736085,arteries,4
sub-06,13,vaso,2.3949334442372034,veins,4
sub-06,13,vaso,-0.29517271275404083,arteries,4
sub-06,14,vaso,1.9338162609111087,veins,4
sub-06,14,vaso,1.2430123567217923,arteries,4
sub-06,15,vaso,1.4324655619162212,veins,4
sub-06,15,vaso,2.494973758722876,arteries,4
sub-06,16,vaso,0.927370787287081,veins,4
sub-06,16,vaso,3.5772656630222297,arteries,4
sub-06,17,vaso,0.23744615097530186,veins,4
sub-06,17,vaso,4.0329376820675815,arteries,4
sub-06,18,vaso,-0.36509421627650873,veins,4
sub-06,18,vaso,4.166428142210229,arteries,4
sub-06,19,vaso,-0.9323637301485318,veins,4
sub-06,19,vaso,3.697218033687996,arteries,4
sub-06,20,vaso,-1.1109247762112688,veins,4
sub-06,20,vaso,3.400947980336938,arteries,4
sub-06,21,vaso,-1.1536811640973603,veins,4
sub-06,21,vaso,2.8984184249234675,arteries,4
sub-06,22,vaso,-1.192927074145601,veins,4
sub-06,22,vaso,2.405299402669428,arteries,4
sub-06,23,vaso,-0.9406236710027231,veins,4
sub-06,23,vaso,2.0979275663541745,arteries,4
sub-06,24,vaso,-0.9257809764225107,veins,4
sub-06,24,vaso,1.4871379944571212,arteries,4
sub-06,25,vaso,-1.0421053046346629,veins,4
sub-06,25,vaso,0.9508237177138971,arteries,4
sub-06,26,vaso,-1.126984450048568,veins,4
sub-06,26,vaso,0.4578665445369371,arteries,4
sub-06,27,vaso,-1.3450123523250095,veins,4
sub-06,27,vaso,0.13710105444264312,arteries,4
sub-06,28,vaso,-1.4390460179837545,veins,4
sub-06,28,vaso,0.49095248939214403,arteries,4
sub-06,29,vaso,-1.4183463687983913,veins,4
sub-06,29,vaso,1.0782502614665985,arteries,4
sub-06,30,vaso,-1.3519651288388244,veins,4
sub-06,30,vaso,1.3114951166192927,arteries,4
sub-06,31,vaso,-1.2369786076798732,veins,4
sub-06,31,vaso,1.5538617517196291,arteries,4
sub-06,32,vaso,-1.0083372734956955,veins,4
sub-06,32,vaso,1.6354400139363845,arteries,4
sub-06,33,vaso,-0.9091676715732028,veins,4
sub-06,33,vaso,1.4140627385348978,arteries,4
sub-06,34,vaso,-0.9006697501929171,veins,4
sub-06,34,vaso,1.085873544076651,arteries,4
sub-06,0,bold,-2.576237292486495,veins,4
sub-06,0,bold,-1.300257856532143,arteries,4
sub-06,1,bold,-2.755927335123258,veins,4
sub-06,1,bold,-1.4320454340133453,arteries,4
sub-06,2,bold,-2.784411629032597,veins,4
sub-06,2,bold,-1.5233932248912065,arteries,4
sub-06,3,bold,-2.5310206244941384,veins,4
sub-06,3,bold,-1.484526381636023,arteries,4
sub-06,4,bold,-1.9004227978416925,veins,4
sub-06,4,bold,-1.2667138999172958,arteries,4
sub-06,5,bold,-0.9478140078894346,veins,4
sub-06,5,bold,-0.8374682684879193,arteries,4
sub-06,6,bold,0.21104414823378823,veins,4
sub-06,6,bold,-0.24899637006030947,arteries,4
sub-06,7,bold,1.4837172386777737,veins,4
sub-06,7,bold,0.4367432575272899,arteries,4
sub-06,8,bold,2.755305257695791,veins,4
sub-06,8,bold,1.1775051157067036,arteries,4
sub-06,9,bold,3.8188491088551153,veins,4
sub-06,9,bold,1.8215469260309742,arteries,4
sub-06,10,bold,4.602206508760375,veins,4
sub-06,10,bold,2.3367928012691563,arteries,4
sub-06,11,bold,4.97003856629982,veins,4
sub-06,11,bold,2.67659999629216,arteries,4
sub-06,12,bold,4.831943310523496,veins,4
sub-06,12,bold,2.8056573739846424,arteries,4
