subject,session,volume,modality,data,stimDur,jitter,interpolation
sub-05,ses-01,18,vaso,-0.9158258704640154,2.0,785,linear
sub-05,ses-01,19,vaso,-1.1888093435865388,2.0,785,linear
sub-05,ses-01,0,vaso,-1.479404653684746,2.0,0.0,linear
sub-05,ses-01,1,vaso,-1.312092202416082,2.0,0.0,linear
sub-05,ses-01,2,vaso,-0.8541844410492327,2.0,0.0,linear
sub-05,ses-01,3,vaso,-0.08806953260855899,2.0,0.0,linear
sub-05,ses-01,4,vaso,0.8453578271008122,2.0,0.0,linear
sub-05,ses-01,5,vaso,1.7963970237858118,2.0,0.0,linear
sub-05,ses-01,6,vaso,2.3951994809578436,2.0,0.0,linear
sub-05,ses-01,7,vaso,2.2719166221283116,2.0,0.0,linear
sub-05,ses-01,8,vaso,1.576249061590218,2.0,0.0,linear
sub-05,ses-01,9,vaso,0.6956572128078098,2.0,0.0,linear
sub-05,ses-01,10,vaso,-0.16732279899895897,2.0,0.0,linear
sub-05,ses-01,11,vaso,-0.6868719897805686,2.0,0.0,linear
sub-05,ses-01,12,vaso,-0.47552994607280574,2.0,0.0,linear
sub-05,ses-01,13,vaso,-0.1585168805111392,2.0,0.0,linear
sub-05,ses-01,14,vaso,0.15849618505053842,2.0,0.0,linear
sub-05,ses-01,15,vaso,0.04401924470882612,2.0,0.0,linear
sub-05,ses-01,16,vaso,-0.22896422841371944,2.0,0.0,linear
sub-05,ses-01,17,vaso,-0.6956779082683884,2.0,0.0,linear
sub-05,ses-01,18,vaso,-0.9774672998787759,2.0,0.0,linear
sub-05,ses-01,19,vaso,-1.056720566269198,2.0,0.0,linear
sub-05,ses-01,0,vaso,-1.2504507730013215,2.0,.57,linear
sub-05,ses-01,1,vaso,-1.6379111864655904,2.0,.57,linear
sub-05,ses-01,2,vaso,-1.778805882270773,2.0,.57,linear
sub-05,ses-01,3,vaso,-1.4529868982212868,2.0,.57,linear
sub-05,ses-01,4,vaso,-0.9950791368544154,2.0,.57,linear
sub-05,ses-01,5,vaso,-0.39627667968238356,2.0,.57,linear
sub-05,ses-01,6,vaso,0.19371985900182853,2.0,.57,linear
sub-05,ses-01,7,vaso,0.7044631312956295,2.0,.57,linear
sub-05,ses-01,8,vaso,0.9950584413938257,2.0,.57,linear
sub-05,ses-01,9,vaso,0.9158051750034035,2.0,.57,linear
sub-05,ses-01,10,vaso,0.6252098649052185,2.0,.57,linear
sub-05,ses-01,11,vaso,0.41386782119743337,2.0,.57,linear
sub-05,ses-01,12,vaso,-0.2377701469015614,2.0,.57,linear
sub-05,ses-01,13,vaso,-0.4667240275849638,2.0,.57,linear
sub-05,ses-01,14,vaso,-0.6252305603658082,2.0,.57,linear
sub-05,ses-01,15,vaso,-0.7397075007075316,2.0,.57,linear
sub-05,ses-01,16,vaso,-0.6340364788536279,2.0,.57,linear
sub-05,ses-01,17,vaso,-0.4403062721215045,2.0,.57,linear
sub-05,ses-01,18,vaso,-0.39627667968238356,2.0,.57,linear
sub-05,ses-01,19,vaso,-0.3698589242189021,2.0,.57,linear
