23.7778 	DATA 	TR 29 | TR1 15 | TR2 14
24.5628 	DATA 	Keypress: 5
24.5632 	DATA 	TR 30 | TR1 15 | TR2 15
25.3950 	DATA 	Keypress: 5
25.3953 	DATA 	TR 31 | TR1 16 | TR2 15
26.2468 	DATA 	Keypress: 5
26.2607 	DATA 	TR 32 | TR1 16 | TR2 16
27.0433 	DATA 	Keypress: 5
27.0436 	DATA 	TR 33 | TR1 17 | TR2 16
27.8136 	DATA 	Keypress: 5
27.8275 	DATA 	TR 34 | TR1 17 | TR2 17
28.6634 	DATA 	Keypress: 5
28.6638 	DATA 	TR 35 | TR1 18 | TR2 17
29.3799 	DATA 	Keypress: 5
29.3803 	DATA 	TR 36 | TR1 18 | TR2 18
30.2101 	DATA 	Keypress: 5
30.2104 	DATA 	TR 37 | TR1 19 | TR2 18
30.9792 	DATA 	Keypress: 5
30.9796 	DATA 	TR 38 | TR1 19 | TR2 19
31.7792 	DATA 	Keypress: 5
31.7796 	DATA 	TR 39 | TR1 20 | TR2 19
32.6456 	DATA 	Keypress: 5
32.6460 	DATA 	TR 40 | TR1 20 | TR2 20
33.4955 	DATA 	Keypress: 5
33.4959 	DATA 	TR 41 | TR1 21 | TR2 20
34.3099 	DATA 	Keypress: 5
34.3103 	DATA 	TR 42 | TR1 21 | TR2 21
35.0101 	DATA 	Keypress: 5
35.0105 	DATA 	TR 43 | TR1 22 | TR2 21
35.8135 	DATA 	Keypress: 5
35.8139 	DATA 	TR 44 | TR1 22 | TR2 22
36.5800 	DATA 	Keypress: 5
36.5804 	DATA 	TR 45 | TR1 23 | TR2 22
37.3635 	DATA 	Keypress: 5
37.3640 	DATA 	TR 46 | TR1 23 | TR2 23
38.1791 	DATA 	Keypress: 5
38.1795 	DATA 	TR 47 | TR1 24 | TR2 23
38.9608 	DATA 	Keypress: 5
38.9612 	DATA 	TR 48 | TR1 24 | TR2 24
39.8133 	DATA 	Keypress: 5
39.8138 	DATA 	TR 49 | TR1 25 | TR2 24
40.5116 	DATA 	Keypress: 5
40.5120 	DATA 	TR 50 | TR1 25 | TR2 25
41.2636 	DATA 	Keypress: 5
41.2775 	DATA 	TR 51 | TR1 26 | TR2 25
42.0626 	DATA 	Keypress: 5
42.0629 	DATA 	TR 52 | TR1 26 | TR2 26
42.9299 	DATA 	Keypress: 5
42.9304 	DATA 	TR 53 | TR1 27 | TR2 26
43.7464 	DATA 	Keypress: 5
43.7468 	DATA 	TR 54 | TR1 27 | TR2 27
